session_id,source.repository,agent,model,trajectory,candidate_score,anomaly_score_global,anomaly_score_within_repo,statistics.input_tokens,statistics.reasoning_tokens,statistics.output_tokens,checkpoint_token_usage.input_tokens,checkpoint_token_usage.cache_creation_tokens,checkpoint_token_usage.cache_read_tokens,checkpoint_token_usage.output_tokens,checkpoint_token_usage.api_call_count,statistics.tool_calls,statistics.user_messages,statistics.assistant_messages,bytes,derived::tokens_per_tool_call,derived::tokens_per_message
0475faa1-06c4-4183-b2d4-71e5ee114c54,hackers-pub/android,Claude Code,,data/transcripts/0475faa1-06c4-4183-b2d4-71e5ee114c54.jsonl,4.508896993463876,1.3552997595407534,7.089112912128248,239,0,35841,12.0,3990.0,1026131.0,205.0,9.0,172,64,22,4034485,6200.156976744186,12400.313953488372
ses_2f84f8dc1ffeWdjA1lTVXOJuGQ,dayhaysoos/nimbus,OpenCode,,data/transcripts/ses_2f84f8dc1ffeWdjA1lTVXOJuGQ.jsonl,4.496573707724929,2.582858539102485,6.062340663870564,6053817,0,187674,6266344.0,0.0,88249728.0,192509.0,696.0,720,76,66,15551230,140209.4,710920.9014084507
1ab747f4-007c-46c5-b660-7d1f4507cd43,lgulliver/derrick,Claude Code,claude-opus-4-8,data/transcripts/1ab747f4-007c-46c5-b660-7d1f4507cd43.jsonl,4.278727572833626,1.9598645150394787,6.17597916557429,778,0,256048,12.0,10368.0,767394.0,5429.0,10.0,397,17,223,9050591,2619.7455919395466,4333.495833333333
f121323c-d69f-4896-b4bd-8826347073cf,fortuna/moltis,Claude Code,,data/transcripts/f121323c-d69f-4896-b4bd-8826347073cf.jsonl,4.21674565846384,2.8293997053478286,5.351846892831486,4872,0,373274,4871.0,5163645.0,596490672.0,373262.0,1311.0,1197,125,115,30595024,503268.09273182956,2510049.6125
ses_331b97956ffeOFjrpl1iaJnkcc,dayhaysoos/nimbus,OpenCode,,data/transcripts/ses_331b97956ffeOFjrpl1iaJnkcc.jsonl,4.175788731970431,2.4543627891873943,5.584228139702006,5985983,0,125660,6240172.0,0.0,51916544.0,148414.0,408.0,336,91,63,13444182,191717.8005952381,418293.3831168831
019f1e82-7db5-7330-b034-2785dfe78862,lgulliver/derrick,Codex,gpt-5.4,data/transcripts/019f1e82-7db5-7330-b034-2785dfe78862-3afc2084fc4a.jsonl,4.099128081535904,2.157065884384944,5.688088061023052,30273951,13273,70136,2389791.0,0.0,27884160.0,83409.0,259.0,450,13,188,3137890,134922.17555555556,302064.5721393035
019d4c8b-db43-7f22-86de-bb2c1dea8484,dayhaysoos/nimbus,Codex,gpt-5.3-codex,data/transcripts/019d4c8b-db43-7f22-86de-bb2c1dea8484.jsonl,4.093397179869245,2.3191736308776476,5.5450346290441885,47713578,47966,90891,16008772.0,0.0,15032960.0,47959.0,128.0,422,68,163,4865442,187066.95260663508,341741.3593073593
019f1e82-7db5-7330-b034-2785dfe78862,lgulliver/derrick,Codex,gpt-5.4,data/transcripts/019f1e82-7db5-7330-b034-2785dfe78862-1d948c75f36c.jsonl,4.067669765633529,2.135818496153818,5.648275349753293,28942034,12862,69007,2344745.0,0.0,25681536.0,80798.0,243.0,432,12,183,3041821,132248.2060185185,292980.641025641
ses_316c7f4fdffet0JWKRHKWRLEE4,dayhaysoos/nimbus,OpenCode,,data/transcripts/ses_316c7f4fdffet0JWKRHKWRLEE4.jsonl,3.9263028427559408,2.3181645194863463,5.242052379976518,3013918,0,109086,3499551.0,0.0,52390400.0,135209.0,397.0,297,61,57,15727477,199153.40404040404,501258.9915254237
ses_3353a8139ffeLXvY9MIuOitgt6,dayhaysoos/nimbus,OpenCode,,data/transcripts/ses_3353a8139ffeLXvY9MIuOitgt6.jsonl,3.9227378706333953,2.3011314516329726,5.249506758906469,5327246,0,171327,2589443.0,0.0,20516096.0,85267.0,215.0,384,50,48,16150957,74712.484375,292750.9591836735
